Countries,Year 2006 ,Year 2008,Year 2010,Year 2012,Year 2014,Year 2016
Rwanda,1159.6569,1194.2249,1379.6993,1569.2548,1716.1328,1937.403
Saint Kitts and Nevis,15359.127,17896.715,17837.35,19596.68,21027.686,18846.359
Saint Lucia,7323.875,9880.1631,9178.2676,11318.176,12358.434,7555.6216
Saint Vincent and the Grenadines,7714.8428,8454.7012,8095.2192,8337.9033,8513.2842,8062.8394
Sao Tome and Principe,2608.7356,2845.821,3081.9265,3585.4229,3423.4341,3594.0679
Saudi Arabia,32633.672,42586.637,42331.66,53311.746,49878.574,39464.801
Senegal,2517.3501,2583.4685,2741.1213,2746.2112,2915.354,3070.8328
Serbia,10556.166,12241.582,12453.482,13383.429,13030.191,13991.986
Seychelles,20073.582,15011.549,17960.354,21799.77,24863.27,24260.727
Sierra Leone,983.14716,1076.9066,1161.8798,1417.4563,1357.8821,1417.849
Singapore,53755.363,50456.723,58618.434,61503.824,66363.477,64978.668
Sint Maarten (Dutch part),34213.691,35804.594,32322.574,9869.0195,8050.2446,14717.654
Slovakia,18713.047,22323.406,23061.121,23304.408,23638.072,24178.82
Slovenia,24555.572,27851.932,25831.332,26359.174,26417.096,26406.225
South Africa,10956.927,11570.479,11388.641,11810.728,11925.564,11720.435
South Korea,28566.496,30044.225,31589.705,31817.418,33151.465,35326.344
Spain,31453.715,33294.488,31610.98,30996.578,31177.77,34054.188
Sri Lanka,5861.0566,6865.9087,8390.4297,10157.429,11148.376,12318.712
Sudan,2815.7307,2730.0693,3608.7856,3940.3154,4063.2432,4306.9048
Suriname,9382.1035,10606.387,12121.652,13847.652,14086.027,12004.039
Sweden,39083.891,42085.523,40421.906,42398.961,41033.582,41898.094
Switzerland,48289.129,56317.887,55688.02,61624.738,63067.492,62668.328
Syria,5056.1631,5411.0308,5700.3291,4903.2002,4819.6099,5438.1191
Taiwan,36024.996,35450.703,37188.895,38466.582,41323.621,42227.582
Tajikistan,2045.375,2493.23,2784.5146,3233.3894,3565.1638,3971.2961
Tanzania,1602.5023,1815.1932,1979.1719,2167.958,2359.1245,2418.8311
Thailand,9985.6309,11285.905,12496.244,14240.284,14380.922,14929.278
Togo,2080.7188,1138.3866,1222.8151,1390.6304,1463.8696,1527.038
Trinidad and Tobago,25438.508,32251.467,27510.236,31777.15,39949.109,41578.27
Tunisia,8952.6221,9896.0195,10647.835,10845.438,10777.048,10838.534
Turkey,14593.348,16538.58,17930.68,20904.223,23675.006,25548.146
Turkmenistan,9521.7578,10505.333,16061.43,16937.529,19651.9,20991.088
Turks and Caicos Islands,8542.6514,13991.633,7230.9658,8204.9824,3037.4082,1599.8324
Uganda,1395.6477,1510.0564,1723.5942,1802.4076,1810.9817,1790.4403
Ukraine,7972.8853,9883.6904,8713.2598,10223.076,9955.0938,8995.1533
United Arab Emirates,91431.398,83746.461,59707.414,72089.969,78633.914,65487.973
United Kingdom,35651.152,35986.379,34810.281,35502.504,37147.688,38026.512
United States,50456.047,50403.328,49500.629,50840.309,52504.051,53984.238
Uruguay,10692.889,13097.273,15783.405,17854.842,19472.594,19423.277
Uzbekistan,4403.647,5717.0239,6574.5166,7713.1885,8357.0244,9338.0146
Venezuela,12223.41,15993.572,16357.737,17974.705,13532.429,7358.5239
Vietnam,3263.8557,3943.917,4428.4214,4933.5288,5437.5781,5485.8125
Yemen,3317.1516,3829.3723,4553.5571,3719.2319,3198.8228,2131.6548
Zambia,1778.7266,2409.8716,2870.8872,3388.7192,3534.8406,3551.9954
Zimbabwe,1016.6743,811.42804,1479.0305,1797.5902,1904.7742,1821.6588
Grand Total,2995664.775,3313342.896,3192252.832,3455289.272,3459547.552,3282996.865
